                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63182,                0.62811,                 1.0836,                0.98209,                0.97398,                0.99278,                0.80593,                0.67362,                0.36614,                 1.0794,              0.0033316,              0.0033316,              0.0033316
                      2,                0.63202,                0.46563,                 1.0642,                0.98956,                0.96188,                0.98931,                0.80354,                 0.6918,                0.40616,                 1.0865,               0.006654,               0.006654,               0.006654
                      3,                0.69957,                0.52945,                 1.0983,                0.96023,                0.94991,                0.97642,                0.75135,                0.78988,                0.48352,                 1.1635,              0.0099653,              0.0099653,              0.0099653
                      4,                0.72658,                0.55037,                 1.1133,                0.98196,                0.96193,                0.98776,                0.79977,                0.70882,                0.40761,                 1.0736,              0.0099505,              0.0099505,              0.0099505
                      5,                0.68049,                0.49693,                 1.0906,                0.97992,                0.96764,                0.99019,                0.80392,                0.69529,                0.39992,                 1.0553,              0.0099505,              0.0099505,              0.0099505
                      6,                0.64554,                0.45289,                 1.0644,                0.91538,                0.96778,                0.92599,                0.75815,                0.66498,                0.40363,                 1.0328,               0.009934,               0.009934,               0.009934
                      7,                0.62014,                0.42655,                 1.0502,                0.98775,                0.97182,                0.99316,                0.83207,                0.62816,                 0.3397,                0.99919,              0.0099175,              0.0099175,              0.0099175
                      8,                0.59833,                0.40743,                 1.0398,                0.99254,                0.97208,                0.99377,                0.84164,                0.62578,                0.33193,                  1.009,               0.009901,               0.009901,               0.009901
                      9,                0.58667,                0.39801,                 1.0285,                0.98239,                0.97779,                0.99349,                0.84419,                0.63113,                0.35016,                 0.9907,              0.0098845,              0.0098845,              0.0098845
                     10,                 0.5731,                0.38421,                 1.0259,                0.97827,                 0.9816,                0.99347,                0.84529,                0.60827,                0.32529,                0.97453,               0.009868,               0.009868,               0.009868
                     11,                0.55826,                0.37327,                 1.0158,                0.99355,                0.97808,                 0.9945,                 0.8535,                0.60131,                0.30854,                0.96661,              0.0098515,              0.0098515,              0.0098515
                     12,                0.54867,                0.36737,                 1.0113,                0.98629,                 0.9797,                0.99426,                0.86162,                0.58697,                 0.3017,                 0.9615,               0.009835,               0.009835,               0.009835
                     13,                0.53957,                0.35372,                 1.0049,                 0.9844,                0.98223,                0.99412,                0.85897,                0.57752,                0.30591,                 0.9426,              0.0098185,              0.0098185,              0.0098185
                     14,                0.53104,                 0.3491,                 1.0007,                 0.9866,                  0.981,                0.99419,                0.85132,                0.58686,                0.29151,                0.96364,               0.009802,               0.009802,               0.009802
                     15,                0.52196,                0.34459,                0.99698,                0.98534,                0.98731,                0.99457,                0.86237,                0.59302,                0.28557,                0.96862,              0.0097855,              0.0097855,              0.0097855
                     16,                0.51555,                0.33622,                0.98904,                0.98226,                0.98604,                0.99424,                0.86667,                0.58635,                0.30057,                0.95577,               0.009769,               0.009769,               0.009769
                     17,                0.50985,                0.32872,                0.98538,                 0.9891,                0.98604,                0.99433,                0.86162,                0.57406,                 0.2768,                0.94731,              0.0097525,              0.0097525,              0.0097525
                     18,                0.50317,                0.32765,                0.98179,                0.98696,                0.98477,                 0.9946,                0.86548,                0.57256,                 0.2779,                0.94584,               0.009736,               0.009736,               0.009736
                     19,                0.50157,                0.32233,                0.98231,                0.99133,                0.97843,                0.99458,                0.87077,                0.56061,                0.27239,                0.93884,              0.0097195,              0.0097195,              0.0097195
