                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63686,                0.63522,                 1.0836,                0.97885,                0.96784,                0.99043,                0.79787,                 0.7149,                0.39916,                 1.1303,              0.0033317,              0.0033317,              0.0033317
                      2,                0.64722,                0.47887,                 1.0651,                0.97147,                0.96853,                0.98816,                0.78471,                0.72456,                0.45494,                 1.0661,               0.006654,               0.006654,               0.006654
                      3,                0.70378,                0.53151,                 1.0951,                0.97292,                0.96042,                0.98408,                 0.7907,                0.73322,                0.47499,                  1.085,              0.0099654,              0.0099654,              0.0099654
                      4,                0.73515,                0.55777,                 1.1126,                0.96876,                0.95894,                0.98478,                 0.8025,                0.71877,                 0.4423,                 1.0531,              0.0099505,              0.0099505,              0.0099505
                      5,                0.69104,                0.50186,                 1.0833,                0.98594,                0.95418,                0.98928,                0.81201,                0.69417,                0.39432,                 1.0519,              0.0099505,              0.0099505,              0.0099505
                      6,                0.65738,                0.45739,                 1.0647,                0.98248,                0.97116,                0.99296,                0.81457,                0.66717,                0.37221,                 1.0246,               0.009934,               0.009934,               0.009934
                      7,                0.63008,                0.43651,                 1.0502,                0.97362,                0.97959,                0.99342,                0.83869,                0.63544,                0.35021,                 1.0145,              0.0099175,              0.0099175,              0.0099175
                      8,                0.61181,                0.41772,                 1.0377,                0.98071,                0.97465,                0.99318,                0.83587,                0.63247,                0.35049,                0.98763,               0.009901,               0.009901,               0.009901
                      9,                0.59634,                  0.403,                 1.0274,                0.98627,                0.97744,                0.99383,                0.84616,                0.61809,                0.32481,                0.97293,              0.0098845,              0.0098845,              0.0098845
                     10,                0.57762,                0.38531,                 1.0185,                0.98926,                0.98207,                0.99402,                0.84806,                0.62189,                0.32114,                0.97397,               0.009868,               0.009868,               0.009868
                     11,                0.57233,                0.37865,                 1.0165,                0.98627,                 0.9776,                0.99428,                 0.8464,                0.60013,                 0.3155,                0.96043,              0.0098515,              0.0098515,              0.0098515
                     12,                0.55184,                0.36283,                 1.0056,                0.98265,                 0.9807,                0.99417,                0.85892,                0.60096,                0.31176,                0.96155,               0.009835,               0.009835,               0.009835
                     13,                0.55057,                0.35999,                 1.0051,                0.98571,                0.98392,                0.99364,                0.85423,                0.60645,                0.31952,                0.97152,              0.0098185,              0.0098185,              0.0098185
                     14,                0.54315,                 0.3527,                 1.0022,                0.98406,                0.98021,                0.99439,                0.86049,                0.57651,                0.28554,                0.93763,               0.009802,               0.009802,               0.009802
                     15,                 0.5308,                0.34494,                0.99299,                 0.9906,                0.97783,                0.99439,                0.86089,                0.61089,                0.32489,                0.99158,              0.0097855,              0.0097855,              0.0097855
                     16,                0.52849,                0.33763,                0.99353,                0.98695,                0.98238,                0.99449,                0.86233,                0.58608,                0.29556,                0.94002,               0.009769,               0.009769,               0.009769
                     17,                0.51684,                0.33212,                0.98875,                0.98941,                0.98252,                0.99464,                0.86725,                0.58676,                0.27756,                0.94364,              0.0097525,              0.0097525,              0.0097525
                     18,                0.51473,                0.32883,                0.98332,                0.98152,                0.98551,                  0.994,                0.86885,                0.57902,                0.27938,                   0.94,               0.009736,               0.009736,               0.009736
                     19,                0.50494,                0.32114,                0.98042,                0.98332,                0.98411,                0.99413,                0.87118,                0.56295,                0.28001,                0.91715,              0.0097195,              0.0097195,              0.0097195
                     20,                0.50523,                0.32122,                0.97846,                 0.9888,                0.98287,                0.99458,                0.87203,                0.58591,                0.29579,                0.94407,               0.009703,               0.009703,               0.009703
                     21,                0.49944,                0.32268,                0.97567,                0.98321,                0.97897,                0.99347,                 0.8688,                0.56947,                0.27184,                0.92922,              0.0096865,              0.0096865,              0.0096865
                     22,                0.49178,                0.31576,                0.97407,                0.98756,                0.98184,                0.99449,                0.87362,                0.56445,                0.26652,                0.92862,                0.00967,                0.00967,                0.00967
                     23,                0.49332,                0.31995,                0.97606,                0.99061,                0.97906,                0.99439,                0.87904,                0.56015,                0.27322,                0.92309,              0.0096535,              0.0096535,              0.0096535
                     24,                0.48985,                0.31276,                0.96852,                0.99215,                0.98516,                0.99463,                0.88049,                0.55372,                0.26103,                0.90858,               0.009637,               0.009637,               0.009637
                     25,                0.49356,                0.31257,                0.97123,                0.98333,                0.98468,                 0.9943,                0.87697,                0.55953,                 0.2569,                 0.9166,              0.0096205,              0.0096205,              0.0096205
                     26,                0.48214,                0.30607,                0.96488,                0.98943,                 0.9837,                0.99464,                0.88275,                0.54837,                 0.2552,                0.90308,               0.009604,               0.009604,               0.009604
                     27,                0.47936,                0.30435,                0.96654,                0.99137,                0.98207,                0.99437,                0.87289,                0.57128,                0.26272,                0.93043,              0.0095875,              0.0095875,              0.0095875
                     28,                0.47716,                 0.3001,                0.96635,                0.98845,                0.98392,                 0.9938,                0.87684,                 0.5632,                0.27814,                 0.9196,               0.009571,               0.009571,               0.009571
                     29,                 0.4739,                0.30132,                0.96253,                0.99066,                0.98388,                0.99433,                0.87938,                0.55812,                0.25363,                0.90816,              0.0095545,              0.0095545,              0.0095545
                     30,                0.47403,                0.29759,                 0.9653,                 0.9876,                 0.9853,                0.99462,                0.88357,                0.55853,                 0.2509,                0.90794,               0.009538,               0.009538,               0.009538
                     31,                0.46718,                0.29593,                 0.9566,                 0.9904,                0.97959,                0.99456,                0.88293,                0.55283,                0.25332,                0.90539,              0.0095215,              0.0095215,              0.0095215
                     32,                0.46711,                0.29452,                0.95761,                0.98819,                0.98296,                0.99463,                0.88655,                0.54233,                0.24418,                0.89611,               0.009505,               0.009505,               0.009505
                     33,                0.45998,                0.29093,                0.95392,                0.98899,                0.98578,                0.99464,                0.88598,                0.54373,                0.24113,                 0.9009,              0.0094885,              0.0094885,              0.0094885
                     34,                0.45921,                0.28727,                0.95607,                0.99021,                0.98392,                0.99446,                 0.8844,                0.54328,                0.24147,                0.90896,               0.009472,               0.009472,               0.009472
                     35,                0.46046,                0.29104,                0.95909,                0.98943,                0.98435,                0.99452,                0.88498,                0.54188,                0.24198,                0.90971,              0.0094555,              0.0094555,              0.0094555
                     36,                0.45853,                0.28916,                0.95591,                0.98812,                0.98454,                0.99412,                0.88935,                0.54294,                0.24546,                0.91288,               0.009439,               0.009439,               0.009439
